city_id,countries_id,city
1,1,Kabul
2,1,Aqchah
3,1,Kandahar
4,1,Herat
5,1,Farah
6,1,Mazar-e Sharif
7,1,Lashkar Gah
8,1,Kunduz
9,1,Jalalabad
10,1,Taluqan
11,1,Shibirghan
12,1,Zaranj
13,1,Khost
14,1,Maimanah
15,1,Mehtar Lam
16,1,Ghazni
17,1,Paghman
18,1,Pul-e Khumri
19,1,Bamyan
20,1,Charikar
21,1,Baghlan
22,1,Balkh
23,1,Tarin Kot
24,1,Gardez
25,1,Bazar-e Yakawlang
26,1,Faizabad
27,1,Qalah-ye Now
28,1,Ghoriyan
29,1,Sar-e Pul
30,1,Haskah Menah
31,1,Mahmud-e Raqi
32,1,Qalat
33,1,Andkhoy
34,1,Gudarah
35,1,Aibak
36,1,Kotah-ye Ashro
37,1,Maidan Shahr
38,1,Bagrami
39,1,Bala Koh
40,1,Khulm
41,1,Khanabad
42,1,Hukumati Baghran
43,1,Bazarak
44,1,Sheghnan
45,1,Pul-e Alam
46,1,Baraki Barak
47,1,Sangin
48,1,Qalah-ye Zal
49,1,Karukh
50,1,Kushk
51,1,Qarqin
52,1,Islam Qalah
53,1,Zarah Sharan
54,1,Fayroz Koh
55,1,Taywarah
56,1,Zarghun Shahr
57,1,Imam Sahib
58,1,Kuhsan
59,1,Ishkashim
60,1,Hukumati Gizab
61,1,Urgun
62,1,Tujg
63,1,Panjab
64,1,Mama Khel
65,1,Deh-e Shu
66,1,Chichkah
67,1,Parun
68,1,Sharan
69,1,Nili
70,2,Tirana
71,2,Durres
72,2,Vlore
73,2,Kamez
74,2,Elbasan
75,2,Shkoder
76,2,Fier
77,2,Korce
78,2,Sarande
79,2,Berat
80,2,Lushnje
81,2,Pogradec
82,2,Kavaje
83,2,Gjirokaster
84,2,Fushe-Kruje
85,2,Lac
86,2,Sukth
87,2,Bucimas
88,2,Kukes
89,2,Lezhe
90,2,Peshkopi
91,2,Librazhd-Qender
92,2,Kucove
93,2,Kruje
94,2,Burrel
95,2,Perondi
96,2,Libonik
97,2,Rreshen
98,2,Belsh
99,2,Gramsh
100,2,Librazhd
101,2,Permet
102,2,Bajram Curri
103,2,Tepelene
104,2,Corovode
105,2,Erseke
106,2,Puke
107,3,Algiers
108,3,Oran
109,3,Constantine
110,3,Batna
111,3,Setif
112,3,Annaba
113,3,Sidi Aissa
114,3,Sidi Bel Abbes
115,3,Biskra
116,3,Tebessa
117,3,Ouargla
118,3,El Khroub
119,3,Tiaret
120,3,Bejaia
121,3,Bir el Djir
122,3,Bordj Bou Arreridj
123,3,Bechar
124,3,Skikda
125,3,Djelfa
126,3,Souk Ahras
127,3,Chlef
128,3,El Eulma
129,3,Bordj el Kiffan
130,3,Mostaganem
131,3,Touggourt
132,3,Medea
133,3,Tizi Ouzou
134,3,El Oued
135,3,Laghouat
136,3,MSila
137,3,Jijel
138,3,Relizane
139,3,Saida
140,3,Baraki
141,3,Guelma
142,3,Ghardaia
143,3,Berrouaghia
144,3,Ain Beida
145,3,Maghnia
146,3,Bou Saada
147,3,Mascara
148,3,Khenchela
149,3,Barika
150,3,Messaad
151,3,Aflou
152,3,Ain Oussera
153,3,Blida
154,3,Es Senia
155,3,Bab Ezzouar
156,3,Tamanrasset
157,3,Arzew
158,3,Ain MLila
159,3,Hassi Bahbah
160,3,El Bayadh
161,3,Mohammadia
162,3,Khemis Miliana
163,3,El Milia
164,3,Hamma Bouziane
165,3,Chelghoum el Aid
166,3,Dar el Beida
167,3,Oum el Bouaghi
168,3,Sougueur
169,3,Taher
170,3,Birkhadem
171,3,Bir el Ater
172,3,Khemis el Khechna
173,3,Merouana
174,3,Ain Temouchent
175,3,Cheria
176,3,Tissemsilt
177,3,Ain Oulmene
178,3,Tlemcen
179,3,Sig
180,3,Mila
181,3,Bouira
182,3,Adrar
183,3,Ksar el Boukhari
184,3,Reghaia
185,3,Ain Defla
186,3,Hadjout
187,3,Mecheria
188,3,Bordj Menaiel
189,3,Oued Rhiou
190,3,Assi Bou Nif
191,3,Ouled Djellal
192,3,Tighenif
193,3,Rouiba
194,3,Kolea
195,3,Baba Hassen
196,3,Meskiana
197,3,Ain Touta
198,3,Lakhdaria
199,3,Sidi ech Chahmi
200,3,Rouissat
201,3,El Attaf
202,3,Boufarik
203,3,Azzaba
204,3,Chekfa
205,3,Boudouaou
206,3,Oulad Yaich
207,3,Morsott
208,3,Frenda
209,3,Ksar Chellala
210,3,Ouenza
211,3,Ain Sefra
212,3,Akbou
213,3,Zeralda
214,3,Ras el Oued
215,3,Boukadir
216,3,Ain Merane
217,3,Tamalous
218,3,Djamaa
219,3,Sour el Ghozlane
220,3,Saoula
221,3,Ain el Turk
222,3,El Meghaier
223,3,Fouka
224,3,Telerghma
225,3,Ain Fakroun
226,3,Ain Azel
227,3,Chetouane
228,3,Oued Sly
229,3,Douera
230,3,Ouled Moussa
231,3,Tindouf
232,3,Hassi Messaoud
233,3,Miliana
234,3,Beni Saf
235,3,Ain Arnat
236,3,El Affroun
237,3,Tadjenanet
238,3,Oued Fodda
239,3,Boumerdes
240,3,Meftah
241,3,Sidi Moussa
242,3,Metlili Chaamba
243,3,Reguiba
244,3,El Golea
245,3,Sebdou
246,3,Ain el Melh
247,3,Guemar
248,3,Sidi Khaled
249,3,Staoueli
250,3,Draa el Mizan
251,3,Ain Tedeles
252,3,Emir Abdelkader
253,3,Bougara
254,3,Drean
255,3,Souma
256,3,Sidi Ali
257,3,Ouled Beni Messous
258,3,Oued Athmenia
259,3,Collo
260,3,Tenes
261,3,Bou Noura
262,3,Hammam Bou Hadjar
263,3,Kherrata
264,3,Tebesbest
265,3,Ouled Fares
266,3,Hammam Dalaa
267,3,Azazga
268,3,Sidi Lakhdar
269,3,Ain Taya
270,3,Cherchell
271,3,Takhemaret
272,3,Oued el Alleug
273,3,Selmane
274,3,Beni Tamou
275,3,Beni Slimane
276,3,Ghazaouet
277,3,Sidi Okba
278,3,Didouche Mourad
279,3,El Arrouch
280,3,Timimoun
281,3,Ain el Hadjel
282,3,Dellys
283,3,Oued Zenati
284,3,Ain el Bya
285,3,Arris
286,3,Isser
287,3,Ain Bessem
288,3,Ain Smara
289,3,I-n-Salah
290,3,Nedroma
291,3,Terga
292,3,El Abiodh Sidi Cheikh
293,3,Bougaa
294,3,Remchi
295,3,Hassi Khelifa
296,3,Ain Abid
297,3,Draa Ben Khedda
298,3,Boghni
299,3,Birtouta
300,3,Ain Kercha
301,3,Chabet el Ameur
302,3,Berriane
303,3,Djendel
304,3,Zemoura
305,3,El Idrissia
306,3,El Kseur
307,3,NGaous
308,3,Tizi Gheniff
309,3,LArbaa Nait Irathen
310,3,Sendjas
311,3,Ouled Haddaj
312,3,Ahmer el Ain
313,3,Timizart
314,3,Ammi Moussa
315,3,Tazmalt
316,3,Zighout Youcef
317,3,Kais
318,3,Sabra
319,3,Mouzaia
320,3,Ouled Ben Abd el Kader
321,3,Tablat
322,3,Babar
323,3,Sfizef
324,3,Bordj el Bahri
325,3,Theniet el Had
326,3,Ouled Fayet
327,3,Taougrite
328,3,Ouled Slama Tahta
329,3,Tazoult-Lambese
330,3,El Abadia
331,3,Barbacha
332,3,Bouguirat
333,3,Feidh el Botma
334,3,Birine
335,3,Dar Chioukh
336,3,Sidi Akkacha
337,3,Zeboudja
338,3,Hennaya
339,3,Zemmouri
340,3,Ouled Mimoun
341,3,Kaous
342,3,Ouled Rahmoun
343,3,Misserghin
344,3,Chellalat el Adhaouara
345,3,El Hadjar
346,3,Foughala
347,3,El Tarf
348,3,Menaceur
349,3,Rouached
350,3,Tipasa
351,3,Debila
352,3,El Karimia
353,3,Illiltene
354,3,Telagh
355,3,Ain Kechera
356,3,Ain Boucif
357,3,Tadjmout
358,3,Mekla
359,3,Freha
360,3,Douar Bou Tlelis
361,3,Ksar el Hirane
362,3,Beni Amrane
363,3,Berhoum
364,3,Khelil
365,3,Oued el Djemaa
366,3,Beni Rached
367,3,Makouda
368,3,Bordj Ghdir
369,3,Tadmait
370,3,Amoucha
371,3,Bouzeghaia
372,3,El Amria
373,3,Naciria
374,3,Mechta Ouled Oulha
375,3,Kadiria
376,3,Had Sahary
377,3,Souahlia
378,3,Kheiredine
379,3,Ghriss
380,3,Bourkika
381,3,Djinet
382,3,Robbah
383,3,Sayada
384,3,Hassi Maameche
385,3,Sidi Amrane
386,3,Sirat
387,3,MChedallah
388,3,Beni Douala
389,3,Chebli
390,3,Beni Mered
391,3,Thenia
392,3,Lioua
393,3,Oum Drou
394,3,Mansourah
395,3,Oued el Aneb
396,3,Tizi-n-Bechar
397,3,Sidi Lahssen
398,3,Bordj Bounaama
399,3,Beni Haoua
400,3,El Hammadia
401,3,Sour
402,3,Aomar
403,3,Ain el Bell
404,3,Reggane
405,3,Ain el Hammam
406,3,Tala Yfassene
407,3,Taibet
408,3,Abou el Hassan
409,3,El Ancer
410,3,Temacine
411,3,Mesra
412,3,Sidi Merouane
413,3,Ain Mabed
414,3,Merad
415,3,Rechaiga
416,3,Bir Kasdali
417,3,Arbaoun
418,3,Charef
419,3,Arbatache
420,3,Oued el Abtal
421,3,Tirmitine
422,3,El Malah
423,3,Zahana
424,3,Ben Aknoun
425,3,Ras el Ma
426,3,Medjedel
427,3,Timoktene
428,3,Bougtob
429,3,Bettioua
430,3,El Achir
431,3,Maoussa
432,3,Ben Daoud
433,3,El Bordj
434,3,Sidi Kada
435,3,Herenfa
436,3,Beni Fouda
437,3,El Omaria
438,3,Fornaka
439,3,Sigus
440,3,Oued el Kheir
441,3,Ain Zaouia
442,3,El Kouif
443,3,Illizi
444,3,Souaflia
445,3,Tizi Rached
446,3,Damous
447,3,Bou Hanifia el Hamamat
448,3,Mers el Kebir
449,3,Sidi Daoud
450,3,Ighram
451,3,Azeffoun
452,3,Ain Feka
453,3,Ain Abessa
454,3,Djouab
455,3,NGoussa
456,3,Tichi
457,3,Bou Hadjar
458,3,Ouled Chebel
459,3,Berriche
460,3,Naama
461,3,Chorfa
462,3,Ain Babouche
463,3,Medjana
464,3,El Ach
465,3,Mecheraa Asfa
466,3,Ouamri
467,3,Baghlia
468,3,Hammam MBails
469,3,Hadjadj
470,3,Ouadhia
471,3,Boudjima
472,3,Mouiat Ouennsa
473,3,Souagui
474,3,Ebn Ziad
475,3,Ain el Hadid
476,3,Tizi-n-Tleta
477,3,Guerouma
478,3,Medrissa
479,3,Sidi Ghiles
480,3,Chemini
481,3,Boumahra Ahmed
482,3,Es Sebt
483,3,Melouza
484,3,Mazagran
485,3,Belkheir
486,3,Bouchegouf
487,3,Texenna
488,3,El Hadjira
489,3,Tsabit
490,3,Harchoune
491,3,Oulad Dahmane
492,3,El Ateuf
493,3,Labiod Medjadja
494,3,Chaabat el Leham
495,3,Djanet
496,3,Djebahia
497,3,Benfreha
498,3,Adekar Kebouche
499,3,Blidet Amor
500,3,Zaouiet Kounta
501,3,Ain Nouissy
502,3,Ouled Sidi Brahim
503,3,Ahmed Rachedi
504,3,Ait Yaich
505,3,Iflissen
506,3,Mnagueur
507,3,Mers el Hadjad
508,3,Bougzoul
509,3,Sidi Ben Adda
